record_date,cusip,security_type,security_term,auction_date,issue_date,maturity_date,price_per100,accrued_int_per100,accrued_int_per1000,adj_accrued_int_per1000,adj_price,allocation_pctage,allocation_pctage_decimals,announcemtd_cusip,announcemt_date,auction_format,avg_med_discnt_rate,avg_med_investment_rate,avg_med_price,avg_med_discnt_margin,avg_med_yield,back_dated,back_dated_date,bid_to_cover_ratio,callable,call_date,called_date,cash_management_bill_cmb,closing_time_comp,closing_time_noncomp,comp_accepted,comp_bid_decimals,comp_tendered,comp_tenders_accepted,corpus_cusip,cpi_base_reference_period,currently_outstanding,dated_date,direct_bidder_accepted,direct_bidder_tendered,est_pub_held_mat_by_type_amt,fima_included,fima_noncomp_accepted,fima_noncomp_tendered,first_int_period,first_int_payment_date,floating_rate,frn_index_determination_date,frn_index_determination_rate,high_discnt_rate,high_investment_rate,high_price,high_discnt_margin,high_yield,index_ratio_on_issue_date,indirect_bidder_accepted,indirect_bidder_tendered,int_payment_frequency,int_rate,low_discnt_rate,low_investment_rate,low_price,low_discnt_margin,low_yield,mat_date,max_comp_award,max_noncomp_award,max_single_bid,min_bid_amt,min_strip_amt,min_to_issue,multiples_to_bid,multiples_to_issue,nlp_exclusion_amt,nlp_reporting_threshold,noncomp_accepted,noncomp_tenders_accepted,offering_amt,original_cusip,original_dated_date,original_issue_date,original_security_term,pdf_filenm_announcemt,pdf_filenm_comp_results,pdf_filenm_noncomp_results,primary_dealer_accepted,primary_dealer_tendered,ref_cpi_on_dated_date,ref_cpi_on_issue_date,reopening,security_term_day_month,security_term_week_year,series,soma_accepted,soma_holdings,soma_included,soma_tendered,spread,std_int_payment_per1000,strippable,tiin_conversion_factor_per1000,total_accepted,total_tendered,treas_retail_accepted,treas_retail_tenders_accepted,unadj_accrued_int_per1000,unadj_price,xml_filenm_announcemt,xml_filenm_comp_results,inflation_index_security,tint_cusip_1,tint_cusip_2,pdf_filenm_spec_announcemt,tail_bp,maturity_years,tenor_bucket,tail_mean,tail_std,z_score,outlier_1sigma,outlier_2sigma
2026-07-15,912810UU0,Year,29-Year 10-Month,2026-07-09,2026-07-15,2056-05-15,99.097875,null,8.2880400000,null,null,7.130000,2,null,2026-07-02,Single-Price,null,null,null,null,5.007,Yes,2026-05-15,2.44,No,null,null,No,01:00 PM,12:00 PM,21951364800,3,53717644000,Yes,912803HV8,null,52935000000.000000,2026-05-15,2679847800,4530300000,75144000000,Yes,0,0,Normal,2026-11-15,No,null,null,null,null,99.097875,null,5.058,null,17065257000,20455344000,Semi-Annual,5.000000,null,null,null,null,2.888000,2026-07-15,7700000000,10000000,7700000000,100,100,100,100,100,16500000000,7700000000,48667300,Yes,22000000000,null,2026-05-15,2026-05-15,30-Year,A_20260702_2.pdf,R_20260709_3.pdf,NCR_20260709_3.pdf,2206260000,28732000000,null,null,Yes,10-Month,29-Year,Bonds of May 2056,2287861600,12375000000,No,2287861600,null,25.0000,Yes,null,24287893700,56054172900,23617300,Yes,null,null,A_20260702_2.xml,R_20260709_3.xml,No,null,null,null,5.100000000000016,29.0,Ultra (10-30Y),5.299999999999994,0.8860022573334502,-0.2257330591932197,False,False
2026-07-15,91282CQQ7,Year,9-Year 10-Month,2026-07-08,2026-07-15,2036-05-15,98.380297,null,7.2520400000,null,null,40.290000,2,null,2026-07-02,Single-Price,null,null,null,null,4.53,Yes,2026-05-15,2.59,No,null,null,No,01:00 PM,12:00 PM,38923847700,3,101048621000,Yes,912821UK9,null,90972000000.000000,2026-05-15,4175493900,7845700000,75144000000,Yes,0,0,Normal,2026-11-15,No,null,null,null,null,98.380297,null,4.58,null,31720938500,37926921000,Semi-Annual,4.375000,null,null,null,null,4.400000,2026-07-15,13650000000,10000000,13650000000,100,100,100,100,100,28400000000,13650000000,76272700,Yes,39000000000,null,2026-05-15,2026-05-15,10-Year,A_20260702_4.pdf,R_20260708_2.pdf,NCR_20260708_2.pdf,3027415300,55276000000,null,null,Yes,10-Month,9-Year,C-2036,4055754800,12375000000,No,4055754800,null,21.8750,Yes,null,43055875200,105180648500,34705700,Yes,null,null,A_20260702_4.xml,R_20260708_2.xml,No,null,null,null,4.999999999999982,9.0,Long (5-10Y),,,,False,False
2026-07-15,91282CQZ7,Year,3-Year,2026-07-07,2026-07-15,2029-07-15,99.849217,null,null,null,null,2.170000,2,null,2026-07-02,Single-Price,null,null,null,null,4.134,No,null,2.6,No,null,null,No,01:00 PM,12:00 PM,57799547000,3,150608870000,Yes,912821UT0,null,null,2026-07-15,14308250000,17665000000,75144000000,Yes,5000000,5000000,Normal,2027-01-15,No,null,null,null,null,99.849217,null,4.179,null,39016667500,52403870000,Semi-Annual,4.125000,null,null,null,null,3.965000,2026-07-15,20300000000,10000000,20300000000,100,100,100,100,100,0,20300000000,195461400,Yes,58000000000,null,null,null,3-Year,A_20260702_3.pdf,R_20260707_3.pdf,NCR_20260707_3.pdf,4474629500,80540000000,null,null,No,0-Month,3-Year,AQ-2029,6031635400,12375000000,No,6031635400,null,20.6250,Yes,null,64031643800,156840966800,77314800,Yes,null,null,A_20260702_3.xml,R_20260707_3.xml,No,912834K98,null,null,4.499999999999993,3.0,Medium (2-5Y),,,,False,False
2026-06-30,91282CQW4,Year,7-Year,2026-06-25,2026-06-30,2033-06-30,99.940019,null,null,null,null,36.220000,2,null,2026-06-18,Single-Price,null,null,null,null,4.2,No,null,2.5,No,null,null,No,01:00 PM,12:00 PM,43927162000,3,109847684000,Yes,912821US2,null,null,2026-06-30,13044711000,16829900000,142819000000,Yes,0,0,Normal,2026-12-31,No,null,null,null,null,99.940019,null,4.26,null,25281614000,32190284000,Semi-Annual,4.250000,null,null,null,null,4.140000,2026-06-30,15400000000,10000000,15400000000,100,100,100,100,100,0,15400000000,72861700,Yes,44000000000,null,null,null,7-Year,A_20260618_6.pdf,R_20260625_3.pdf,NCR_20260625_3.pdf,5600837000,60827500000,null,null,No,0-Month,7-Year,M-2033,6586413700,30986000000,No,6586413700,null,21.2500,Yes,null,50586437400,116506959400,18721700,Yes,null,null,A_20260618_6.xml,R_20260625_3.xml,No,912834K80,null,null,5.999999999999961,7.0,Long (5-10Y),5.979999999999981,0.8318653737234152,0.0240423518416933,False,False
2026-06-30,91282CQX2,Year,5-Year,2026-06-24,2026-06-30,2031-06-30,99.664909,null,null,null,null,86.810000,2,null,2026-06-18,Single-Price,null,null,null,null,4.135,No,null,2.35,No,null,null,No,01:00 PM,12:00 PM,69854999700,3,164427300200,Yes,912821UR4,null,null,2026-06-30,17820350000,21416600000,142819000000,Yes,4900000,4900000,Normal,2026-12-31,No,null,null,null,null,99.664909,null,4.2,null,43028302200,51983700200,Semi-Annual,4.125000,null,null,null,null,4.085000,2026-06-30,24500000000,10000000,24500000000,100,100,100,100,100,0,24500000000,140118100,Yes,70000000000,null,null,null,5-Year,A_20260618_2.pdf,R_20260624_3.pdf,NCR_20260624_3.pdf,9006347500,91027000000,null,null,No,0-Month,5-Year,AA-2031,10478385600,30986000000,No,10478385600,null,20.6250,Yes,null,80478403400,175050703900,48019100,Yes,null,null,A_20260618_2.xml,R_20260624_3.xml,No,null,null,SPL_20260618_2.pdf,6.500000000000039,5.0,Medium (2-5Y),,,,False,False
2026-06-30,91282CQY0,Year,2-Year,2026-06-23,2026-06-30,2028-06-30,99.878432,null,null,null,null,5.660000,2,null,2026-06-18,Single-Price,null,null,null,null,4.138,No,null,2.64,No,null,null,No,01:00 PM,12:00 PM,68035905000,3,181436815000,Yes,912821UQ6,null,null,2026-06-30,23343000000,28404000000,142819000000,Yes,205000000,205000000,Normal,2026-12-31,No,null,null,null,null,99.878432,null,4.189,null,37726415000,54184815000,Semi-Annual,4.125000,null,null,null,null,4.080000,2026-06-30,24150000000,10000000,24150000000,100,100,100,100,100,0,24150000000,759106400,Yes,69000000000,null,null,null,2-Year,A_20260618_5.pdf,R_20260623_2.pdf,NCR_20260623_2.pdf,6966490000,98848000000,null,null,No,0-Month,2-Year,BD-2028,10328694400,30986000000,No,10328694400,null,20.6250,Yes,null,79328705800,192729615800,312015400,Yes,null,null,A_20260618_5.xml,R_20260623_2.xml,No,null,null,SPL_20260618_1.pdf,5.100000000000016,2.0,Short (≤2Y),,,,False,False
2026-06-30,91282CQP9,Year,4-Year 10-Month,2026-06-18,2026-06-30,2031-04-15,98.854348,null,null,2.6510500000,98.8543480000,36.100000,2,null,2026-06-11,Single-Price,null,null,null,null,1.905,Yes,2026-04-15,2.61,No,null,null,No,01:00 PM,12:00 PM,23914250000,3,62541675000,Yes,912821UE3,1982-1984=100,29272000000.000000,2026-04-15,6693500000,8866000000,142819000000,Yes,0,0,Normal,2026-10-15,No,null,null,null,null,98.854348,null,1.955,1.021350,16401675000,22869675000,Semi-Annual,1.250000,null,null,null,null,1.840000,2026-06-30,8400000000,10000000,8400000000,100,100,100,100,100,9100000000,8400000000,85752400,Yes,24000000000,null,2026-04-15,2026-04-30,5-Year,A_20260611_3.pdf,R_20260618_3.pdf,NCR_20260618_3.pdf,819075000,30806000000,325.967400,332.926430,Yes,10-Month,4-Year,X-2031,3592589300,30986000000,No,3592589300,null,null,Yes,1.9173696510,27592591700,66220016700,21320400,Yes,2.595630,96.787926,A_20260611_3.xml,R_20260618_3.xml,Yes,null,null,null,5.000000000000004,4.0,Medium (2-5Y),5.460000000000016,0.9659192512834816,-0.4762302846628005,False,False
2026-06-22,912810UV8,Year,19-Year 11-Month,2026-06-16,2026-06-22,2046-05-15,100.909218,null,5.1630400000,null,null,56.570000,2,null,2026-06-11,Single-Price,null,null,null,null,4.875,Yes,2026-05-15,2.75,No,null,null,No,01:00 PM,12:00 PM,12932506400,3,35651830000,Yes,912803HW6,null,18360000000.000000,2026-05-15,2579248900,4511500000,0,Yes,0,0,Normal,2026-11-15,No,null,null,null,null,100.909218,null,4.927,null,9256257500,12646830000,Semi-Annual,5.000000,null,null,null,null,3.880000,2026-06-22,4550000000,10000000,4550000000,100,100,100,100,100,5600000000,4550000000,67525300,Yes,13000000000,null,2026-05-15,2026-06-01,20-Year,A_20260611_1.pdf,R_20260616_2.pdf,NCR_20260616_2.pdf,1097000000,18493500000,null,null,Yes,11-Month,19-Year,Bonds of May 2046,0,0,No,0,null,25.0000,Yes,null,13000031700,35719355300,34186300,Yes,null,null,A_20260611_1.xml,R_20260616_2.xml,No,null,null,null,5.19999999999996,19.0,Ultra (10-30Y),5.283333333333322,0.7935153852740622,-0.10501791758527784,False,False
2026-06-15,912810UU0,Year,29-Year 11-Month,2026-06-11,2026-06-15,2056-05-15,99.683378,null,4.2119600000,null,null,32.360000,2,null,2026-06-04,Single-Price,null,null,null,null,4.96,Yes,2026-05-15,2.33,No,null,null,No,01:00 PM,12:00 PM,21959443000,3,51179273000,Yes,912803HV8,null,30936000000.000000,2026-05-15,5557100000,6725100000,39999000000,Yes,0,0,Normal,2026-11-15,No,null,null,null,null,99.683378,null,5.02,null,13164713000,16105173000,Semi-Annual,5.000000,null,null,null,null,4.890000,2026-06-15,7700000000,10000000,7700000000,100,100,100,100,100,8800000000,7700000000,40579800,Yes,22000000000,null,2026-05-15,2026-05-15,30-Year,A_20260604_3.pdf,R_20260611_3.pdf,NCR_20260611_3.pdf,3237630000,28349000000,null,null,Yes,11-Month,29-Year,Bonds of May 2056,0,0,No,0,null,25.0000,Yes,null,22000022800,51219852800,15269800,Yes,null,null,A_20260604_3.xml,R_20260611_3.xml,No,null,null,null,5.999999999999961,29.0,Ultra (10-30Y),5.38571428571427,0.7733661733585282,0.7943012449303383,False,False
2026-06-15,91282CQQ7,Year,9-Year 11-Month,2026-06-10,2026-06-15,2036-05-15,98.703094,null,3.6854600000,null,null,71.340000,2,null,2026-06-04,Single-Price,null,null,null,null,4.48,Yes,2026-05-15,2.57,No,null,null,No,01:00 PM,12:00 PM,38914680400,3,99959349000,Yes,912821UK9,null,51972000000.000000,2026-05-15,4796000000,7916500000,39999000000,Yes,0,0,Normal,2026-11-15,No,null,null,null,null,98.703094,null,4.538,null,30435505400,37206849000,Semi-Annual,4.375000,null,null,null,null,4.400000,2026-06-15,13650000000,10000000,13650000000,100,100,100,100,100,14700000000,13650000000,85320600,Yes,39000000000,null,2026-05-15,2026-05-15,10-Year,A_20260604_2.pdf,R_20260610_2.pdf,NCR_20260610_2.pdf,3683175000,54836000000,null,null,Yes,11-Month,9-Year,C-2036,0,0,No,0,null,21.8750,Yes,null,39000001000,100044669600,38560800,Yes,null,null,A_20260604_2.xml,R_20260610_2.xml,No,null,null,null,5.799999999999983,9.0,Long (5-10Y),5.9499999999999815,0.7476630257007483,-0.20062514106460042,False,False
2026-06-15,91282CQV6,Year,3-Year,2026-06-09,2026-06-15,2029-06-15,99.812958,null,null,null,null,42.920000,2,null,2026-06-04,Single-Price,null,null,null,null,4.147,No,null,2.64,No,null,null,No,01:00 PM,12:00 PM,57733403100,3,153124410000,Yes,912821UP8,null,null,2026-06-15,12131465100,16178000000,39999000000,Yes,5000000,5000000,Normal,2026-12-15,No,null,null,null,null,99.812958,null,4.192,null,36781410000,48981410000,Semi-Annual,4.125000,null,null,null,null,2.880000,2026-06-15,20300000000,10000000,20300000000,100,100,100,100,100,0,20300000000,261616100,Yes,58000000000,null,null,null,3-Year,A_20260604_4.pdf,R_20260609_3.pdf,NCR_20260609_3.pdf,8820528000,87965000000,null,null,No,0-Month,3-Year,AP-2029,0,0,No,0,null,20.6250,Yes,null,58000019200,153391026100,90506100,Yes,null,null,A_20260604_4.xml,R_20260609_3.xml,No,912834ZZ4,null,null,4.499999999999993,3.0,Medium (2-5Y),5.300000000000012,0.9486832980505352,-0.8432740427115692,False,False
